name,title,company,profile_url
Stephanie Herndon-Rasse,"Vice President, Customer Experience",Branch,https://www.stage2.capital/team/stephanie-herndon-rasse
Steve Travaglini,"Founder, CEO",Winrate,https://www.stage2.capital/team/steve-travaglini
Tarek Saed,Sr. Customer Success Account Manager;  Senior AI Workforce Solution Specialist,Microsoft,https://www.stage2.capital/team/tarek-saed
Tim Butler,RVP of Enterprise Sales,Eightfold,https://www.stage2.capital/team/tim-butler
Tim Foster,Managing Director,Monevate <https://monevate.com/>,https://www.stage2.capital/team/tim-foster
Tim Maffuid,"Sr. Director, Federal Civilian",Databricks,https://www.stage2.capital/team/tim-maffuid
Tim Rezendes,Business Development Director - Technology,Latham &amp; Watkins,https://www.stage2.capital/team/tim-rezendes
Tom Pae,Founder,Charlie Mike,https://www.stage2.capital/team/tom-pae
Tom Salah,CRO,Blancco Technology Group,https://www.stage2.capital/team/tom-salah
Tom Scopazzi,Founder,Stealth,https://www.stage2.capital/team/tom-scopazzi
Travis Dion,"Senior Vice President, Alliances &amp; Channels",WalkMe,https://www.stage2.capital/team/travis-dion
Travis Henry,"Senior Director, Go-to-Market Planning",Snowflake,https://www.stage2.capital/team/travis-henry
Trevor Banks,"National Director, Large Enterprise - Higher Education Industry",Workday <workday.com>,https://www.stage2.capital/team/trevor-banks
Trevor Pyle,Head of Product Marketing,Profound <tryprofound.com/>,https://www.stage2.capital/team/trevor-pyle
Tyler Hoffman,"SVP, Finance",Branching Minds,https://www.stage2.capital/team/tyler-hoffman
Tyrone Anderson,Vice President of Customer Success &amp; Sales,RunLLM,https://www.stage2.capital/team/tyrone-anderson
Vaishali Rana Reed,Chief Operating Officer | Executive Producer,The Reeder,https://www.stage2.capital/team/vaishali-rana-reed
Vipul Samat,"Senior Director, Customer Success and Strategy",Cohesity,https://www.stage2.capital/team/vipul-samat
Wendy M. Hudson,Co-Founder/Owner,Cisco Brewers &amp; Triple Eight Distillery/Nantucket Book Partners,https://www.stage2.capital/team/wendy-m-hudson
Wendy Wu,CMO,SailPoint,https://www.stage2.capital/team/wendy-wu
Will Nowak,"Vice President Americas, Solutions Engineering and Customer Experience",Dataiku,https://www.stage2.capital/team/will-nowak
